scientifique 	scientific	 scientist
embellir 	embellish
sinophile 	Sinophile
palestinien 	Palestinian
jet 	throw	 jet
ornementale 	ornamental
islamiste 	Islamist
décade 	decade
guanine 	guanine
isba 	isba
ignorance 	ignorance
rasta 	rasta
mycologie 	mycology
photoémissivité 	photoemissivity
consultant 	consultant
hyperthermie 	hyperthermia
pallisandre 	pallisander
péking 	Peking
foliation 	foliation
sympathie 	sympathy
colubridé 	colubrid
omsk 	Omsk
rebelle 	rebel
glycogène 	glycogen
serpentinite 	serpentinite
pluviographe 	pluviograph
composition 	typesetting	 composition
jam 	jam
lusophone 	Lusophone
réprimander 	reprimand
décompiler 	decompile
incandescent 	incandescent
radiologiste 	radiologist
bourgeois 	bourgeois	 burgher
wah-wah 	wah-wah
commutatif 	commutative	 abelian
possible 	possible
breton 	Breton
frugivore 	frugivore
convoi 	convoy
darwinisme 	Darwinism
millionnaire 	millionaire
complexité 	complexity
estonien 	Estonian
royal 	imperial	 royal
impraticable 	impracticable
souvenir 	keepsake	 souvenir	 memento	 memory
folklore 	folklore
nymphette 	nymphet
indigo 	indigo
pin-up 	centerfold	 pin-up
scriptorium 	scriptorium
hamburger 	hamburger
minsk 	Minsk
assistance 	audience	 assistance
hangar 	hangar
uniforme 	uniform
jaguarondi 	jaguarundi
dingo 	dingo
autolyse 	autolysis
éloquent 	eloquent
iris 	Iris
syndrome de guillain-barré 	Guillain-Barré syndrome
subalpin 	subalpine
piccolo 	piccolo
phoenix 	Phoenix
proposition 	bill	 proposal	 proposition	 noun clause
sichuan 	Sichuan
calorie 	calorie
mule 	mule
protiste 	protist
laotien 	Laotian	 Lao
incunable 	incunable
asti 	Asti
mea culpa 	mea culpa
ellipse 	ellipse
inaudible 	inaudible
vain 	vain
curaçao 	curaçao
sommable 	summable
kilotonne 	kiloton
lombardie 	Lombardy
instrument 	implement	 instrument
nirvana 	nirvana
provisionner 	provision
sextant 	sextant
solubilité 	solubility
grisons 	Grisons
samba 	samba
futile 	futile	 vain
albino 	albino
mexico 	Mexico	 Mexico City
patine 	dope	 patina
terrible 	terrible	 fearful	 awful
belgorod 	Belgorod
aberrance 	aberrance
graduation 	graduation
biographie 	biography
accidentel 	accidental
prométhium 	promethium
burkina faso 	Burkina Faso
swahili 	Swahili
bromoforme 	bromoform
locuste 	locust
tlaquimilolli 	tlaquimilolli
iris 	iris
marshal 	marshal
ion 	ion
vase 	vase	 silt
thymine 	thymine
paléoclimat 	paleoclimate
arguer 	argue
vaduz 	Vaduz
sextuplé 	sextuplet
solide 	solid	 burly	 strong	 sound	 sturdy
protactinium 	protactinium
guadalcanal 	Guadalcanal
torrent 	torrent	 river
ire 	ire
consulat 	consulate
investir 	invest
reykjavík 	Reykjavik
sinuosité 	sinuosity
ununhexium 	ununhexium
infanticide 	infanticide
rumba 	rumba
en route 	on the way	 en route
polygamie 	polygamy
sibyllin 	sibylline
culture 	culture
concertation 	concertation
weber 	weber
excepté 	except	 besides
tunis 	Tunis
amender 	amend
vibraphone 	vibraphone
batik 	batik
diaspora 	diaspora	 Diaspora
supplanter 	supplant
eucalypte 	eucalyptus
attractif 	attractive
tartu 	Tartu
divorcée 	divorcee
finlandisation 	finlandization
babiroussa 	babiroussa
éminent 	eminent
bosphore 	Bosphorus
visuel 	visual
peyotl 	peyote
exolingue 	exolingual
psychokinèse 	psychokinesis
veine 	vein
addition 	check	 tab	 addition
tilde 	tilde
détroit 	Detroit
abattoir 	slaughterhouse	 abattoir
afghanistan 	Afghanistan
conscrit 	conscript
issa 	Issa
colligation 	colligation
décapitation 	beheading	 decapitation
dramaturge 	dramaturge	 playwright
mitosome 	mitosome
limite 	limit	 barrier	 term	 bound
commémoration 	commemoration
désert 	desert
nivôse 	Nivôse
dactyle 	dactyl
bombarde 	bombard
multinationale 	multinational
espace 	break	 elbow room	 space	 room
possessif 	possessive	 possessive case
